Time,Z-stack,Microns,Intensity,Cell
11,2,4.99592,841.167,7
11,3,7.49389,1019.948,7
11,4,9.99185,1072.191,7
12,0,0,393.923,7
12,1,2.49796,563.179,7
12,2,4.99592,840.65,7
12,3,7.49389,973.94,7
12,4,9.99185,1030.714,7
13,0,0,395.693,7
13,1,2.49796,567.952,7
13,2,4.99592,836.835,7
13,3,7.49389,936.392,7
13,4,9.99185,1038.037,7
14,0,0,394.979,7
14,1,2.49796,566.881,7
14,2,4.99592,773.512,7
14,3,7.49389,920.387,7
14,4,9.99185,959.783,7
15,0,0,375.855,7
15,1,2.49796,544.019,7
15,2,4.99592,779.435,7
15,3,7.49389,954.656,7
15,4,9.99185,978.999,7
16,0,0,375.12,7
16,1,2.49796,552.98,7
16,2,4.99592,793.266,7
16,3,7.49389,941.818,7
16,4,9.99185,1004.862,7
17,0,0,363.408,7
17,1,2.49796,496.656,7
17,2,4.99592,715.136,7
17,3,7.49389,873.371,7
17,4,9.99185,945.733,7
18,0,0,368.383,7
18,1,2.49796,500.874,7
18,2,4.99592,679.231,7
18,3,7.49389,809.917,7
